Building,Total Classrooms,Significative Classrooms (seats>40),Used Classrooms,Building Usage
Palazzina Einaudi,3,1,0,0.0
C.so S.Maurizio 31/a,6,2,2,33.333333333333336
Campus Luigi Einaudi,76,51,31,40.78947368421053
Campus Samev,38,20,19,50.0
Centro dell'Innovazione,9,8,3,33.333333333333336
Cinema Greenwich,3,3,3,100.0
Cinema Reposi - Via XX Settembre 15,1,1,1,100.0
Cinema Romano,2,2,2,100.0
Cinema UCI Lingotto,8,8,6,75.0
Cli Beinasco,17,5,1,5.882352941176471
Complesso Aldo Moro,14,14,14,100.0
Corso M.D'Azeglio 50,3,2,1,33.333333333333336
Corso M.D'Azeglio 52,7,6,5,71.42857142857143
Corso Raffaello 30,1,0,0,0.0
Dipartimento di Chimica,9,5,5,55.55555555555556
Dipartimento di Fisica,12,5,6,50.0
Dipartimento di Informatica,11,10,7,63.63636363636363
Dipartimento di Oncologia V.Michelangelo 27,2,2,2,100.0
Dipartimento di Scienze della Terra,8,4,5,62.5
Dipartimento di Scienze della Vita e Biologia dei Sistemi,12,3,7,58.333333333333336
Dipartimento di Scienze della Vita e Biologia dei Sistemi - Sede Viale Mattioli,5,2,2,40.0
Dipartimento DIST,1,0,0,0.0
DSTF - Via Giuria 9,5,2,2,40.0
"Edificio ""Ex La Stampa""",23,23,20,86.95652173913044
Fondazione Guzzo,1,0,0,0.0
Hotel Royal Torino,1,1,0,0.0
Istituto Cabrini,1,1,1,100.0
Istituto Galileo Ferraris,3,0,0,0.0
Istituto Rosmini,32,5,9,28.125
Lingotto - Dental School,11,9,1,9.090909090909092
MBC,16,9,6,37.5
Molinette C.so Bramante 88,2,2,1,50.0
Molinette C.so Dogliotti 14,5,3,5,100.0
Molinette C.so Dogliotti 38,4,1,3,75.0
Molinette Via Cherasco 11,2,1,2,100.0
Molinette Via Cherasco 15,2,1,2,100.0
Molinette Via Genova 3,6,4,5,83.33333333333333
Molinette Via Santena 5bis,3,1,2,66.66666666666667
Molinette Via Santena 7,2,2,2,100.0
Molinette Via Santena 9,3,1,2,66.66666666666667
Ospedale C.T.O.,3,3,1,33.333333333333336
Ospedale Oftalmico,1,1,1,100.0
Ospedale Regina Margherita,2,1,2,100.0
Ospedale San Lazzaro,1,1,1,100.0
Ospedale Sant'Anna Via Ventimiglia 3,2,2,2,100.0
Palavela Via Ventimiglia 145,4,4,0,0.0
Palazzetto Gorresio,8,2,0,0.0
Palazzo Arsenale,16,1,1,6.25
Palazzo Badini,3,3,2,66.66666666666667
Palazzo Campana,22,7,7,31.818181818181817
Palazzo Nuovo,39,31,33,84.61538461538461
Palazzo Simoni,30,1,0,0.0
Palazzo Venturi,11,8,4,36.36363636363637
Plana,11,9,9,81.81818181818181
Polo Teologico,3,3,3,100.0
San Luigi Gonzaga,11,8,3,27.272727272727273
School of Management - SAA,21,18,0,0.0
SME - Edificio Storico,30,20,13,43.333333333333336
SME - Nuovo Polo Didattico,15,7,7,46.666666666666664
Torino Esposizioni,1,1,1,100.0
Via Giuria 15,1,0,1,100.0
Via Michelangelo 25,1,1,1,100.0
Via Sant'Ottavio 54,12,4,0,0.0
